                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                 1.5845,                 1.1675,                 1.2502,                0.68515,                  0.708,                0.68293,                0.41928,                 1.4995,                 1.4871,                 1.1144,               0.007558,               0.007558,               0.007558
                     77,                 1.5964,                 1.1852,                 1.2556,                0.70258,                0.70076,                0.68308,                0.41194,                 1.5053,                 1.5253,                 1.1298,               0.007525,               0.007525,               0.007525
                     78,                 1.5981,                 1.1873,                 1.2586,                0.69065,                0.72307,                0.69522,                0.41879,                 1.5155,                 1.4786,                 1.1184,               0.007492,               0.007492,               0.007492
                     79,                 1.5802,                 1.1643,                 1.2524,                0.69477,                 0.7111,                0.69247,                0.42492,                 1.4968,                 1.4033,                 1.1099,               0.007459,               0.007459,               0.007459
                     80,                 1.5787,                 1.1571,                 1.2477,                0.71418,                 0.7042,                0.69765,                0.42703,                 1.4772,                 1.4171,                 1.1063,               0.007426,               0.007426,               0.007426
                     81,                 1.5863,                 1.1697,                  1.252,                0.70828,                 0.7239,                0.70272,                 0.4239,                 1.5144,                 1.3892,                 1.1224,               0.007393,               0.007393,               0.007393
                     82,                 1.5814,                 1.1593,                  1.247,                0.70729,                0.70185,                0.68831,                0.42509,                 1.4986,                 1.4866,                 1.1154,                0.00736,                0.00736,                0.00736
                     83,                 1.5769,                 1.1641,                 1.2513,                 0.6949,                0.72198,                0.70109,                0.43241,                 1.4688,                 1.4392,                 1.0995,               0.007327,               0.007327,               0.007327
                     84,                 1.5829,                 1.1611,                 1.2502,                0.68936,                0.73048,                0.69073,                0.42426,                 1.4736,                 1.4478,                 1.1048,               0.007294,               0.007294,               0.007294
                     85,                 1.5845,                 1.1456,                  1.245,                0.71175,                0.72144,                0.69312,                 0.4244,                 1.4991,                 1.4579,                 1.1114,               0.007261,               0.007261,               0.007261
                     86,                 1.5758,                 1.1567,                 1.2403,                0.69861,                0.71708,                0.69106,                0.42358,                 1.5005,                 1.4714,                 1.1128,               0.007228,               0.007228,               0.007228
                     87,                 1.5732,                 1.1535,                  1.242,                0.69854,                0.71482,                0.68501,                0.42442,                 1.4875,                 1.4345,                  1.113,               0.007195,               0.007195,               0.007195
