                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                 1.1517,                 2.1336,                0.98137,                 1.0371,                0.81388,                0.67639,                0.76115,                0.53103,                0.78955,                0.63545,                0.71773,                0.43654,                 1.0492,                 1.9918,                0.84562,                0.99202,               0.008548,               0.008548,               0.008548
                     47,                 1.1468,                 2.1031,                0.97524,                 1.0351,                0.82594,                0.68986,                 0.7781,                0.53992,                0.82417,                0.64905,                 0.7403,                0.45184,                  1.064,                 2.0398,                0.79547,                 1.0009,               0.008515,               0.008515,               0.008515
                     48,                 1.1421,                 2.1183,                0.97224,                 1.0349,                0.82586,                0.67431,                0.77181,                 0.5444,                0.79584,                0.64386,                0.72428,                0.44349,                  1.052,                 1.9785,                0.81105,                0.98761,               0.008482,               0.008482,               0.008482
                     49,                 1.1365,                 2.1022,                0.96444,                 1.0299,                0.81668,                0.68169,                0.76806,                0.54262,                0.81138,                0.64366,                0.73642,                0.46137,                 1.0365,                 1.9659,                0.81641,                0.97898,               0.008449,               0.008449,               0.008449
                     50,                 1.1335,                 2.0804,                 0.9603,                 1.0294,                 0.8306,                0.66848,                0.76651,                0.54609,                0.82136,                0.64127,                0.72945,                0.45518,                 1.0224,                 1.9438,                0.81873,                0.97773,               0.008416,               0.008416,               0.008416
                     51,                 1.1406,                 2.0942,                0.96643,                 1.0332,                0.82768,                0.66965,                 0.7736,                0.54834,                0.80873,                  0.644,                0.73154,                0.45906,                 1.0361,                 1.9429,                0.80982,                0.97293,               0.008383,               0.008383,               0.008383
                     52,                 1.1326,                 2.1031,                0.95706,                 1.0278,                0.82974,                0.67042,                0.76954,                0.54745,                 0.8128,                 0.6446,                0.73064,                0.45962,                  1.045,                 2.0351,                0.82348,                0.97991,                0.00835,                0.00835,                0.00835
                     53,                 1.1272,                 2.0771,                0.95863,                 1.0282,                0.81471,                0.69724,                0.78369,                0.55611,                0.80109,                 0.6576,                0.74118,                0.45705,                 1.0109,                 1.9742,                0.80687,                0.97573,               0.008317,               0.008317,               0.008317
                     54,                 1.1315,                 2.0644,                0.95426,                 1.0288,                0.83133,                0.70152,                0.78815,                0.55119,                0.80433,                0.66071,                0.73684,                0.45588,                 1.0445,                 1.9591,                0.79905,                0.97996,               0.008284,               0.008284,               0.008284
                     55,                 1.1197,                 2.0564,                 0.9429,                 1.0286,                0.83461,                0.69231,                0.78824,                0.56125,                0.80987,                0.66219,                0.74321,                0.46434,                 1.0153,                 1.9545,                0.79013,                0.97679,               0.008251,               0.008251,               0.008251
                     56,                 1.1208,                  2.069,                0.94407,                 1.0244,                0.81534,                0.69841,                 0.7869,                0.55555,                0.80198,                0.66459,                0.74391,                0.46245,                 1.0217,                 2.0056,                0.78156,                0.98005,               0.008218,               0.008218,               0.008218
                     57,                 1.1216,                 2.0605,                0.94312,                 1.0295,                0.82018,                0.69258,                0.78325,                0.55463,                0.81136,                 0.6486,                0.73906,                 0.4587,                 1.0144,                 1.9421,                0.79687,                0.97737,               0.008185,               0.008185,               0.008185
                     58,                 1.1368,                    2.1,                 0.9577,                 1.0292,                 0.8295,                0.69724,                0.78548,                0.55815,                0.80846,                0.66615,                0.74246,                0.46096,                 0.9918,                 1.9494,                0.79618,                0.96689,               0.008152,               0.008152,               0.008152
                     59,                 1.1248,                 2.0523,                0.94743,                 1.0261,                0.82501,                0.68092,                0.77709,                0.55058,                 0.8107,                0.64912,                 0.7376,                0.45339,                 1.0167,                 1.9529,                0.80086,                0.97619,               0.008119,               0.008119,               0.008119
                     60,                   1.12,                 2.0684,                0.93847,                 1.0251,                0.82242,                0.67859,                0.77804,                0.54379,                0.80444,                0.64594,                 0.7324,                0.45168,                 1.0489,                 1.9682,                0.79293,                 0.9903,               0.008086,               0.008086,               0.008086
                     61,                 1.1149,                 2.0589,                0.93384,                 1.0218,                0.83341,                0.71355,                0.79456,                0.56275,                0.80606,                0.68092,                0.75319,                0.46757,                 1.0115,                 1.9506,                0.81403,                0.97784,               0.008053,               0.008053,               0.008053
                     62,                  1.128,                 2.0714,                0.94193,                 1.0273,                0.83163,                0.70451,                0.79052,                0.56842,                 0.8178,                0.66848,                 0.7551,                0.47436,                0.98558,                 1.9316,                 0.7594,                0.96414,                0.00802,                0.00802,                0.00802
                     63,                 1.1268,                   2.09,                0.94471,                  1.028,                0.83849,                0.69569,                0.78587,                0.55291,                0.83399,                0.64866,                 0.7399,                0.45569,                 1.0293,                 1.9588,                0.76474,                0.99068,               0.007987,               0.007987,               0.007987
                     64,                 1.1241,                 2.0728,                0.94681,                 1.0257,                0.82159,                0.70696,                0.79036,                0.55987,                0.81946,                0.65565,                 0.7492,                0.46538,                 1.0184,                 1.9504,                0.75633,                0.97477,               0.007954,               0.007954,               0.007954
                     65,                 1.1167,                 2.0631,                0.92811,                 1.0225,                0.83031,                 0.7019,                0.78614,                0.56198,                0.81019,                0.65371,                0.73996,                0.46243,                0.99443,                  1.907,                0.77836,                0.97116,               0.007921,               0.007921,               0.007921
                     66,                 1.1131,                  2.048,                0.92767,                 1.0213,                 0.8275,                 0.7019,                0.78981,                0.56635,                0.79245,                0.67664,                0.74877,                0.47343,                 0.9861,                 1.8977,                 0.7621,                0.97073,               0.007888,               0.007888,               0.007888
                     67,                 1.1265,                 2.0831,                0.93677,                 1.0283,                0.81751,                0.70515,                0.79641,                0.56515,                0.81925,                0.65643,                0.75346,                 0.4657,                 1.0045,                 1.9056,                0.76534,                0.96997,               0.007855,               0.007855,               0.007855
                     68,                 1.1052,                 2.0434,                0.92009,                 1.0212,                0.82512,                0.70618,                0.79397,                0.56996,                0.80067,                0.65993,                0.74983,                0.47082,                0.99328,                 1.9339,                0.76507,                0.96802,               0.007822,               0.007822,               0.007822
                     69,                 1.1188,                 2.0852,                0.93662,                 1.0257,                0.82774,                0.70657,                 0.7967,                 0.5732,                0.80138,                 0.6727,                0.75214,                0.47221,                0.97748,                 1.9101,                0.76316,                0.95622,               0.007789,               0.007789,               0.007789
